In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 84, minibatch 1/1, validation error 35.000000 %, cost 0.319658
epoch 85, minibatch 1/1, validation error 35.000000 %, cost 0.325072
epoch 86, minibatch 1/1, validation error 35.000000 %, cost 0.324959
epoch 87, minibatch 1/1, validation error 35.000000 %, cost 0.320547
epoch 88, minibatch 1/1, validation error 35.000000 %, cost 0.319917
epoch 89, minibatch 1/1, validation error 35.000000 %, cost 0.333083
epoch 90, minibatch 1/1, validation error 35.000000 %, cost 0.325645
epoch 91, minibatch 1/1, validation error 35.000000 %, cost 0.332235
epoch 92, minibatch 1/1, validation error 35.000000 %, cost 0.328203
epoch 93, minibatch 1/1, validation error 35.000000 %, cost 0.316869
epoch 94, minibatch 1/1, validation error 35.000000 %, cost 0.327870
epoch 95, minibatch 1/1, validation error 35.000000 %, cost 0.324491
epoch 96, minibatch 1/1, validation error 35.000000 %, cost 0.322541
epoch 97, minibatch 1/1, validation error 35.000000 %, cost 0.321861
epoch 98, minibatch 1/1, validation error 35.000000 %, cost 0.324401
epoch 99, minibatch 1/1, validation error 35.000000 %, cost 0.318514
epoch 100, minibatch 1/1, validation error 35.000000 %, cost 0.325636
('training @ iter = ', 100)
epoch 101, minibatch 1/1, validation error 35.000000 %, cost 0.323729
epoch 102, minibatch 1/1, validation error 35.000000 %, cost 0.330032
epoch 103, minibatch 1/1, validation error 35.000000 %, cost 0.325697
epoch 104, minibatch 1/1, validation error 35.000000 %, cost 0.328206
epoch 105, minibatch 1/1, validation error 35.000000 %, cost 0.325269
epoch 106, minibatch 1/1, validation error 35.000000 %, cost 0.327560
epoch 107, minibatch 1/1, validation error 35.000000 %, cost 0.323183
epoch 108, minibatch 1/1, validation error 35.000000 %, cost 0.321828
epoch 109, minibatch 1/1, validation error 35.000000 %, cost 0.323848
epoch 110, minibatch 1/1, validation error 35.000000 %, cost 0.326631
epoch 111, minibatch 1/1, validation error 35.000000 %, cost 0.323138
epoch 112, minibatch 1/1, validation error 35.000000 %, cost 0.328917
epoch 113, minibatch 1/1, validation error 35.000000 %, cost 0.328364
epoch 114, minibatch 1/1, validation error 35.000000 %, cost 0.325200
epoch 115, minibatch 1/1, validation error 35.000000 %, cost 0.328950
epoch 116, minibatch 1/1, validation error 35.000000 %, cost 0.322091
epoch 117, minibatch 1/1, validation error 35.000000 %, cost 0.323120
epoch 118, minibatch 1/1, validation error 35.000000 %, cost 0.323607
epoch 119, minibatch 1/1, validation error 35.000000 %, cost 0.326035
epoch 120, minibatch 1/1, validation error 35.000000 %, cost 0.317046
epoch 121, minibatch 1/1, validation error 35.000000 %, cost 0.318191
epoch 122, minibatch 1/1, validation error 35.000000 %, cost 0.332862
epoch 123, minibatch 1/1, validation error 35.000000 %, cost 0.324514
epoch 124, minibatch 1/1, validation error 35.000000 %, cost 0.321764
epoch 125, minibatch 1/1, validation error 35.000000 %, cost 0.329135
epoch 126, minibatch 1/1, validation error 35.000000 %, cost 0.320151
epoch 127, minibatch 1/1, validation error 35.000000 %, cost 0.318362
epoch 128, minibatch 1/1, validation error 35.000000 %, cost 0.325929
epoch 129, minibatch 1/1, validation error 35.000000 %, cost 0.320353
epoch 130, minibatch 1/1, validation error 35.000000 %, cost 0.325956
epoch 131, minibatch 1/1, validation error 35.000000 %, cost 0.321740
epoch 132, minibatch 1/1, validation error 35.000000 %, cost 0.327452
epoch 133, minibatch 1/1, validation error 35.000000 %, cost 0.315908
epoch 134, minibatch 1/1, validation error 35.000000 %, cost 0.323626
epoch 135, minibatch 1/1, validation error 35.000000 %, cost 0.309393
epoch 136, minibatch 1/1, validation error 35.000000 %, cost 0.323116
epoch 137, minibatch 1/1, validation error 35.000000 %, cost 0.325981
epoch 138, minibatch 1/1, validation error 35.000000 %, cost 0.321465
epoch 139, minibatch 1/1, validation error 35.000000 %, cost 0.325507
epoch 140, minibatch 1/1, validation error 35.000000 %, cost 0.321786
epoch 141, minibatch 1/1, validation error 35.000000 %, cost 0.327995
epoch 142, minibatch 1/1, validation error 35.000000 %, cost 0.322826
epoch 143, minibatch 1/1, validation error 35.000000 %, cost 0.313218
epoch 144, minibatch 1/1, validation error 35.000000 %, cost 0.330610
epoch 145, minibatch 1/1, validation error 35.000000 %, cost 0.325486
epoch 146, minibatch 1/1, validation error 35.000000 %, cost 0.316174
epoch 147, minibatch 1/1, validation error 35.000000 %, cost 0.324857
epoch 148, minibatch 1/1, validation error 35.000000 %, cost 0.319453
epoch 149, minibatch 1/1, validation error 35.000000 %, cost 0.328051
epoch 150, minibatch 1/1, validation error 35.000000 %, cost 0.322968
epoch 151, minibatch 1/1, validation error 35.000000 %, cost 0.323894
epoch 152, minibatch 1/1, validation error 35.000000 %, cost 0.320551
epoch 153, minibatch 1/1, validation error 35.000000 %, cost 0.329455
epoch 154, minibatch 1/1, validation error 35.000000 %, cost 0.322320
epoch 155, minibatch 1/1, validation error 35.000000 %, cost 0.324345
epoch 156, minibatch 1/1, validation error 35.000000 %, cost 0.321716
epoch 157, minibatch 1/1, validation error 35.000000 %, cost 0.328075
epoch 158, minibatch 1/1, validation error 35.000000 %, cost 0.325871
epoch 159, minibatch 1/1, validation error 35.000000 %, cost 0.314561
epoch 160, minibatch 1/1, validation error 35.000000 %, cost 0.319334
epoch 161, minibatch 1/1, validation error 35.000000 %, cost 0.326671
epoch 162, minibatch 1/1, validation error 35.000000 %, cost 0.322677
epoch 163, minibatch 1/1, validation error 35.000000 %, cost 0.315320
epoch 164, minibatch 1/1, validation error 35.000000 %, cost 0.317426
epoch 165, minibatch 1/1, validation error 35.000000 %, cost 0.322800
epoch 166, minibatch 1/1, validation error 35.000000 %, cost 0.327683
epoch 167, minibatch 1/1, validation error 35.000000 %, cost 0.328158
epoch 168, minibatch 1/1, validation error 35.000000 %, cost 0.332644
epoch 169, minibatch 1/1, validation error 35.000000 %, cost 0.315987
epoch 170, minibatch 1/1, validation error 35.000000 %, cost 0.321802
epoch 171, minibatch 1/1, validation error 35.000000 %, cost 0.319906
epoch 172, minibatch 1/1, validation error 35.000000 %, cost 0.323557
epoch 173, minibatch 1/1, validation error 35.000000 %, cost 0.324752
