In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 84, minibatch 1/1, validation error 35.000000 %, cost 0.302293
epoch 85, minibatch 1/1, validation error 35.000000 %, cost 0.319214
epoch 86, minibatch 1/1, validation error 35.000000 %, cost 0.350290
epoch 87, minibatch 1/1, validation error 35.000000 %, cost 0.462502
epoch 88, minibatch 1/1, validation error 35.000000 %, cost 0.254688
epoch 89, minibatch 1/1, validation error 35.000000 %, cost 0.317229
epoch 90, minibatch 1/1, validation error 35.000000 %, cost 0.278045
epoch 91, minibatch 1/1, validation error 35.000000 %, cost 0.352768
epoch 92, minibatch 1/1, validation error 35.000000 %, cost 0.416461
epoch 93, minibatch 1/1, validation error 35.000000 %, cost 0.705857
epoch 94, minibatch 1/1, validation error 35.000000 %, cost 0.404749
epoch 95, minibatch 1/1, validation error 35.000000 %, cost 0.310101
epoch 96, minibatch 1/1, validation error 35.000000 %, cost 0.458807
epoch 97, minibatch 1/1, validation error 35.000000 %, cost 0.286856
epoch 98, minibatch 1/1, validation error 35.000000 %, cost 0.294384
epoch 99, minibatch 1/1, validation error 35.000000 %, cost 0.315234
epoch 100, minibatch 1/1, validation error 35.000000 %, cost 0.492459
('training @ iter = ', 100)
epoch 101, minibatch 1/1, validation error 35.000000 %, cost 0.254115
epoch 102, minibatch 1/1, validation error 35.000000 %, cost 0.287540
epoch 103, minibatch 1/1, validation error 35.000000 %, cost 0.277469
epoch 104, minibatch 1/1, validation error 35.000000 %, cost 0.315659
epoch 105, minibatch 1/1, validation error 35.000000 %, cost 0.298839
epoch 106, minibatch 1/1, validation error 35.000000 %, cost 0.473053
epoch 107, minibatch 1/1, validation error 35.000000 %, cost 0.233651
epoch 108, minibatch 1/1, validation error 35.000000 %, cost 0.210836
epoch 109, minibatch 1/1, validation error 35.000000 %, cost 0.249379
epoch 110, minibatch 1/1, validation error 35.000000 %, cost 0.330488
epoch 111, minibatch 1/1, validation error 35.000000 %, cost 0.219826
epoch 112, minibatch 1/1, validation error 35.000000 %, cost 0.367510
epoch 113, minibatch 1/1, validation error 35.000000 %, cost 0.248322
epoch 114, minibatch 1/1, validation error 35.000000 %, cost 0.324608
