In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 84, minibatch 1/1, validation error 90.000000 %, cost 0.914692
epoch 85, minibatch 1/1, validation error 10.000000 %, cost 0.760328
epoch 86, minibatch 1/1, validation error 90.000000 %, cost 0.766679
epoch 87, minibatch 1/1, validation error 10.000000 %, cost 0.713253
epoch 88, minibatch 1/1, validation error 10.000000 %, cost 0.726929
epoch 89, minibatch 1/1, validation error 10.000000 %, cost 0.731136
epoch 90, minibatch 1/1, validation error 10.000000 %, cost 0.645614
epoch 91, minibatch 1/1, validation error 10.000000 %, cost 0.612161
epoch 92, minibatch 1/1, validation error 80.000000 %, cost 0.695497
epoch 93, minibatch 1/1, validation error 10.000000 %, cost 0.706955
epoch 94, minibatch 1/1, validation error 90.000000 %, cost 0.750095
epoch 95, minibatch 1/1, validation error 10.000000 %, cost 0.747091
epoch 96, minibatch 1/1, validation error 10.000000 %, cost 0.714350
epoch 97, minibatch 1/1, validation error 10.000000 %, cost 0.664703
epoch 98, minibatch 1/1, validation error 10.000000 %, cost 0.654237
epoch 99, minibatch 1/1, validation error 10.000000 %, cost 0.656670
epoch 100, minibatch 1/1, validation error 20.000000 %, cost 0.649156
('training @ iter = ', 100)
epoch 101, minibatch 1/1, validation error 10.000000 %, cost 0.660809
epoch 102, minibatch 1/1, validation error 75.000000 %, cost 0.709592
epoch 103, minibatch 1/1, validation error 10.000000 %, cost 0.703900
epoch 104, minibatch 1/1, validation error 90.000000 %, cost 0.832714
epoch 105, minibatch 1/1, validation error 10.000000 %, cost 0.874638
epoch 106, minibatch 1/1, validation error 90.000000 %, cost 0.814984
epoch 107, minibatch 1/1, validation error 10.000000 %, cost 0.654929
epoch 108, minibatch 1/1, validation error 10.000000 %, cost 0.645526
epoch 109, minibatch 1/1, validation error 10.000000 %, cost 0.675656
epoch 110, minibatch 1/1, validation error 10.000000 %, cost 0.742059
epoch 111, minibatch 1/1, validation error 10.000000 %, cost 0.623083
epoch 112, minibatch 1/1, validation error 20.000000 %, cost 0.637835
epoch 113, minibatch 1/1, validation error 10.000000 %, cost 0.655186
epoch 114, minibatch 1/1, validation error 35.000000 %, cost 0.692291
epoch 115, minibatch 1/1, validation error 10.000000 %, cost 0.664595
epoch 116, minibatch 1/1, validation error 20.000000 %, cost 0.643833
epoch 117, minibatch 1/1, validation error 10.000000 %, cost 0.658560
epoch 118, minibatch 1/1, validation error 90.000000 %, cost 0.767051
epoch 119, minibatch 1/1, validation error 10.000000 %, cost 0.817645
epoch 120, minibatch 1/1, validation error 90.000000 %, cost 0.948531
epoch 121, minibatch 1/1, validation error 10.000000 %, cost 0.786836
epoch 122, minibatch 1/1, validation error 30.000000 %, cost 0.737364
epoch 123, minibatch 1/1, validation error 10.000000 %, cost 0.733966
epoch 124, minibatch 1/1, validation error 35.000000 %, cost 0.685411
epoch 125, minibatch 1/1, validation error 10.000000 %, cost 0.723229
epoch 126, minibatch 1/1, validation error 10.000000 %, cost 0.648563
epoch 127, minibatch 1/1, validation error 10.000000 %, cost 0.620096
epoch 128, minibatch 1/1, validation error 20.000000 %, cost 0.650664
epoch 129, minibatch 1/1, validation error 10.000000 %, cost 0.615182
epoch 130, minibatch 1/1, validation error 75.000000 %, cost 0.630013
epoch 131, minibatch 1/1, validation error 10.000000 %, cost 0.636854
epoch 132, minibatch 1/1, validation error 90.000000 %, cost 0.719531
epoch 133, minibatch 1/1, validation error 10.000000 %, cost 0.793469
epoch 134, minibatch 1/1, validation error 90.000000 %, cost 0.867692
epoch 135, minibatch 1/1, validation error 10.000000 %, cost 0.678351
epoch 136, minibatch 1/1, validation error 55.000000 %, cost 0.616521
epoch 137, minibatch 1/1, validation error 10.000000 %, cost 0.657261
epoch 138, minibatch 1/1, validation error 75.000000 %, cost 0.659865
epoch 139, minibatch 1/1, validation error 10.000000 %, cost 0.657407
epoch 140, minibatch 1/1, validation error 35.000000 %, cost 0.665700
epoch 141, minibatch 1/1, validation error 10.000000 %, cost 0.595204
epoch 142, minibatch 1/1, validation error 80.000000 %, cost 0.600548
epoch 143, minibatch 1/1, validation error 10.000000 %, cost 0.669929
epoch 144, minibatch 1/1, validation error 90.000000 %, cost 0.767728
epoch 145, minibatch 1/1, validation error 10.000000 %, cost 0.956964
epoch 146, minibatch 1/1, validation error 90.000000 %, cost 1.008125
epoch 147, minibatch 1/1, validation error 10.000000 %, cost 0.724612
epoch 148, minibatch 1/1, validation error 25.000000 %, cost 0.647083
epoch 149, minibatch 1/1, validation error 20.000000 %, cost 0.614218
epoch 150, minibatch 1/1, validation error 20.000000 %, cost 0.584769
epoch 151, minibatch 1/1, validation error 20.000000 %, cost 0.664148
epoch 152, minibatch 1/1, validation error 20.000000 %, cost 0.618692
epoch 153, minibatch 1/1, validation error 30.000000 %, cost 0.618477
epoch 154, minibatch 1/1, validation error 20.000000 %, cost 0.586371
epoch 155, minibatch 1/1, validation error 25.000000 %, cost 0.586782
epoch 156, minibatch 1/1, validation error 35.000000 %, cost 0.531969
epoch 157, minibatch 1/1, validation error 10.000000 %, cost 0.527919
epoch 158, minibatch 1/1, validation error 90.000000 %, cost 0.675236
epoch 159, minibatch 1/1, validation error 10.000000 %, cost 1.208839
epoch 160, minibatch 1/1, validation error 85.000000 %, cost 1.201142
epoch 161, minibatch 1/1, validation error 20.000000 %, cost 0.668045
epoch 162, minibatch 1/1, validation error 20.000000 %, cost 0.637664
epoch 163, minibatch 1/1, validation error 30.000000 %, cost 0.659717
epoch 164, minibatch 1/1, validation error 20.000000 %, cost 0.639194
epoch 165, minibatch 1/1, validation error 20.000000 %, cost 0.581951
epoch 166, minibatch 1/1, validation error 30.000000 %, cost 0.605925
epoch 167, minibatch 1/1, validation error 20.000000 %, cost 0.601510
epoch 168, minibatch 1/1, validation error 30.000000 %, cost 0.618294
epoch 169, minibatch 1/1, validation error 30.000000 %, cost 0.582555
epoch 170, minibatch 1/1, validation error 20.000000 %, cost 0.636856
epoch 171, minibatch 1/1, validation error 55.000000 %, cost 0.565923
epoch 172, minibatch 1/1, validation error 10.000000 %, cost 0.597216
epoch 173, minibatch 1/1, validation error 90.000000 %, cost 0.769936
epoch 174, minibatch 1/1, validation error 10.000000 %, cost 0.888511
epoch 175, minibatch 1/1, validation error 80.000000 %, cost 0.874294
epoch 176, minibatch 1/1, validation error 15.000000 %, cost 0.648540
epoch 177, minibatch 1/1, validation error 30.000000 %, cost 0.571792
epoch 178, minibatch 1/1, validation error 30.000000 %, cost 0.596271
epoch 179, minibatch 1/1, validation error 20.000000 %, cost 0.536872
epoch 180, minibatch 1/1, validation error 35.000000 %, cost 0.588379
epoch 181, minibatch 1/1, validation error 20.000000 %, cost 0.569889
epoch 182, minibatch 1/1, validation error 90.000000 %, cost 0.580779
epoch 183, minibatch 1/1, validation error 10.000000 %, cost 0.710621
epoch 184, minibatch 1/1, validation error 90.000000 %, cost 0.857390
epoch 185, minibatch 1/1, validation error 10.000000 %, cost 0.802576
epoch 186, minibatch 1/1, validation error 35.000000 %, cost 0.691669
epoch 187, minibatch 1/1, validation error 20.000000 %, cost 0.621989
epoch 188, minibatch 1/1, validation error 35.000000 %, cost 0.590219
epoch 189, minibatch 1/1, validation error 25.000000 %, cost 0.593047
epoch 190, minibatch 1/1, validation error 20.000000 %, cost 0.597886
epoch 191, minibatch 1/1, validation error 40.000000 %, cost 0.473033
epoch 192, minibatch 1/1, validation error 20.000000 %, cost 0.511616
epoch 193, minibatch 1/1, validation error 90.000000 %, cost 0.713808
epoch 194, minibatch 1/1, validation error 10.000000 %, cost 1.017917
epoch 195, minibatch 1/1, validation error 60.000000 %, cost 0.779496
epoch 196, minibatch 1/1, validation error 20.000000 %, cost 0.597027
epoch 197, minibatch 1/1, validation error 35.000000 %, cost 0.590857
epoch 198, minibatch 1/1, validation error 25.000000 %, cost 0.585386
epoch 199, minibatch 1/1, validation error 35.000000 %, cost 0.582381
epoch 200, minibatch 1/1, validation error 30.000000 %, cost 0.558164
('training @ iter = ', 200)
epoch 201, minibatch 1/1, validation error 20.000000 %, cost 0.494081
epoch 202, minibatch 1/1, validation error 45.000000 %, cost 0.529085
epoch 203, minibatch 1/1, validation error 15.000000 %, cost 0.503547
epoch 204, minibatch 1/1, validation error 90.000000 %, cost 0.748528
epoch 205, minibatch 1/1, validation error 10.000000 %, cost 1.321648
epoch 206, minibatch 1/1, validation error 30.000000 %, cost 0.744495
epoch 207, minibatch 1/1, validation error 40.000000 %, cost 0.617096
epoch 208, minibatch 1/1, validation error 30.000000 %, cost 0.610177
epoch 209, minibatch 1/1, validation error 30.000000 %, cost 0.498821
