In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((14, 49152), (14, 49152), (14, 49152))
((14,), (14,), (14,))
(49152,)
n_train_samples: 14
n_valid_samples: 14
n_test_samples: 14
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 84, minibatch 1/1, validation error 42.857143 %, cost 0.658191
epoch 85, minibatch 1/1, validation error 42.857143 %, cost 0.670968
epoch 86, minibatch 1/1, validation error 42.857143 %, cost 0.634692
epoch 87, minibatch 1/1, validation error 42.857143 %, cost 0.646411
epoch 88, minibatch 1/1, validation error 42.857143 %, cost 0.641736
epoch 89, minibatch 1/1, validation error 42.857143 %, cost 0.643810
epoch 90, minibatch 1/1, validation error 42.857143 %, cost 0.639949
epoch 91, minibatch 1/1, validation error 42.857143 %, cost 0.651087
epoch 92, minibatch 1/1, validation error 42.857143 %, cost 0.645091
epoch 93, minibatch 1/1, validation error 42.857143 %, cost 0.652704
epoch 94, minibatch 1/1, validation error 42.857143 %, cost 0.651382
epoch 95, minibatch 1/1, validation error 42.857143 %, cost 0.635441
epoch 96, minibatch 1/1, validation error 42.857143 %, cost 0.647513
epoch 97, minibatch 1/1, validation error 42.857143 %, cost 0.655303
epoch 98, minibatch 1/1, validation error 42.857143 %, cost 0.651189
epoch 99, minibatch 1/1, validation error 42.857143 %, cost 0.642685
epoch 100, minibatch 1/1, validation error 42.857143 %, cost 0.646206
('training @ iter = ', 100)
epoch 101, minibatch 1/1, validation error 42.857143 %, cost 0.671368
epoch 102, minibatch 1/1, validation error 42.857143 %, cost 0.667502
epoch 103, minibatch 1/1, validation error 42.857143 %, cost 0.645145
epoch 104, minibatch 1/1, validation error 42.857143 %, cost 0.640086
epoch 105, minibatch 1/1, validation error 42.857143 %, cost 0.650300
epoch 106, minibatch 1/1, validation error 42.857143 %, cost 0.644367
epoch 107, minibatch 1/1, validation error 42.857143 %, cost 0.642231
epoch 108, minibatch 1/1, validation error 42.857143 %, cost 0.650924
epoch 109, minibatch 1/1, validation error 42.857143 %, cost 0.644827
epoch 110, minibatch 1/1, validation error 42.857143 %, cost 0.651683
epoch 111, minibatch 1/1, validation error 42.857143 %, cost 0.637527
epoch 112, minibatch 1/1, validation error 42.857143 %, cost 0.640753
epoch 113, minibatch 1/1, validation error 42.857143 %, cost 0.659741
epoch 114, minibatch 1/1, validation error 42.857143 %, cost 0.650311
epoch 115, minibatch 1/1, validation error 42.857143 %, cost 0.650598
epoch 116, minibatch 1/1, validation error 42.857143 %, cost 0.652184
epoch 117, minibatch 1/1, validation error 42.857143 %, cost 0.662942
epoch 118, minibatch 1/1, validation error 42.857143 %, cost 0.648781
epoch 119, minibatch 1/1, validation error 42.857143 %, cost 0.630230
epoch 120, minibatch 1/1, validation error 42.857143 %, cost 0.629229
epoch 121, minibatch 1/1, validation error 42.857143 %, cost 0.630914
epoch 122, minibatch 1/1, validation error 42.857143 %, cost 0.650883
epoch 123, minibatch 1/1, validation error 42.857143 %, cost 0.645478
epoch 124, minibatch 1/1, validation error 42.857143 %, cost 0.665098
epoch 125, minibatch 1/1, validation error 42.857143 %, cost 0.636672
epoch 126, minibatch 1/1, validation error 42.857143 %, cost 0.649092
epoch 127, minibatch 1/1, validation error 42.857143 %, cost 0.637384
epoch 128, minibatch 1/1, validation error 42.857143 %, cost 0.645626
epoch 129, minibatch 1/1, validation error 42.857143 %, cost 0.661373
epoch 130, minibatch 1/1, validation error 42.857143 %, cost 0.647895
epoch 131, minibatch 1/1, validation error 42.857143 %, cost 0.656052
epoch 132, minibatch 1/1, validation error 42.857143 %, cost 0.647934
epoch 133, minibatch 1/1, validation error 42.857143 %, cost 0.661264
